Repository,Branches,NbBranches,CommitId,Message,Author,DateTime,Date,HourOfDay,Merge,BugFix,SATD,NbModifiedFiles,ModifiedFiles,NbModifiedProdSourceFiles,NbModifiedTestSourceFiles,NbModifications,NbInsertions,NbDeletions
nltk,{'develop'},1,d9a61b1a6979ebbba2e5b999f3c434e1ff133177,"Initial revision


svn/trunk@2",Edward Loper,2001-03-01 09:26:35+00:00,2001-03-01,9,False,False,False,1,nltk.py,1,0,1342,1342,0
nltk,{'develop'},1,f1a34a1fd2461db657593f089962c31e29c60ce8,"Created the project proposal for the NLP toolkit.
The following sections have been written:
  - overview
  - design criteria
  - toolkit design and implementation

The following sections have not been written:
  - documentation
  - preliminary design and implementation


svn/trunk@6",Edward Loper,2001-03-02 10:30:58+00:00,2001-03-02,10,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,2e37c9cb5c975557c577f4c7f1c11c9623609d02,"Added cvs ignore file.


svn/trunk@7",Edward Loper,2001-03-02 10:32:53+00:00,2001-03-02,10,False,False,False,1,.cvsignore,0,0,5,5,0
nltk,{'develop'},1,8c6e4c4fc1366adf7c26c688886521071bb65dbd,"Added notes on the proposal.


svn/trunk@8",Edward Loper,2001-03-02 10:34:05+00:00,2001-03-02,10,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,723d1ff75695d2cd9c11a9bc027574aa77e357a3,"Added content:
  * Wrote documentation section
  * Wrote about half of the preliminary design & impl section


svn/trunk@9",Edward Loper,2001-03-02 23:32:29+00:00,2001-03-02,23,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,8b673cc65bd1aedc1f583d080037b71da4898e20,"Added/updated documentation:
  * module overview
  * _chktype() and _type_safety_level
  * Set & its methods (minor formatting changes)
  * Event: rewrote overview, documented methods

Added/changed functionality:
  * updated _chktype() to accept dictionaries
  * Added method Set.elements() to return elts of a Set
  * Changed exception raised by required interface methods from
    NotImplementedError to AssertionError.
  * Restructured EventI hierarchy
  * Added many optional methods to Event & implemented them in the
    classes that implement Event
  * Added SampleEvent, NullEvent, UniversalEvent

Fixed bugs:
  * Typo in SImpleTokenType


svn/trunk@10",Edward Loper,2001-03-02 23:38:20+00:00,2001-03-02,23,False,True,False,1,nltk.py,1,0,788,646,142
nltk,{'develop'},1,fb7c3385a74b9a9f71f28fb1da4211aa2d09a728,"Moved the task-oriented module prototype table.  Minor wording change.


svn/trunk@11",Edward Loper,2001-03-03 09:17:43+00:00,2001-03-03,9,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,463dad3ccdb4d6f6546a4d6ce2efba8c1852253b,"Mainly just added lots of documentation.

Added/updated documentation:
  * make_docs
  * Token.__str__() and Token.__hash__()
  * TextLocation interface
  * IndexTextLocation
  * FreqDistI and Freq Dist classes
  * many other minor doc updates
  * CFSample, ContextEvent
  * shift_in()
  * Tagger interface and classes

Added/changed functionality:
  * Added doc checking to make_docs()
  * added hash function to TextLocation interface
  * Added max() to FreqDist and renamed max_freq_sample to cond_max()


svn/trunk@12",Edward Loper,2001-03-03 09:24:15+00:00,2001-03-03,9,False,False,False,1,nltk.py,1,0,807,697,110
nltk,{'develop'},1,95dde20c6a5e7df8deea9d6996c900e4c684cc84,"Added ""content"" and ""nomenclature"" subsubsections to the module design
subsection.  Gave URL for reference docs.  Minor doc changes.  Added
docs for FreqDistI and ProbDistI.  Added docs for TaggerI.  Added
bibliography items for some NLP books.


svn/trunk@13",Edward Loper,2001-03-03 22:41:12+00:00,2001-03-03,22,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,6c244d5a8e19666ab9c324f33c44154256fe0c38,"Added content:
  * ProbDistI

Added/updated documentation:
  * FreqDistI: slight rewordings
  * ProbDistI


svn/trunk@14",Edward Loper,2001-03-03 22:42:40+00:00,2001-03-03,22,False,False,False,1,nltk.py,1,0,145,133,12
nltk,{'develop'},1,f7367393d1d147a4cab4fc2be42dc599f0ace4fd,"Gave title to HTML_Doc in make_doc()


svn/trunk@15",Edward Loper,2001-03-03 23:10:31+00:00,2001-03-03,23,False,False,False,1,nltk.py,1,0,6,4,2
nltk,{'develop'},1,312a7e4e65e7f38791a693271e4eb0d1524b6ebf,"Spell-checked.


svn/trunk@16",Edward Loper,2001-03-03 23:11:14+00:00,2001-03-03,23,False,False,False,0,,0,0,0,0,0
nltk,{'develop'},1,0833e5a9a044575499bf52d50167c24f67b37ce3,"Updated ignore file


svn/trunk@18",Edward Loper,2001-03-16 22:22:58+00:00,2001-03-16,22,False,False,False,1,.cvsignore,0,0,5,3,2
nltk,{'develop'},1,7c57082f3a523e6b8fa91d1ec93bc7bbc056a897,"Split nltk.py into a package


svn/trunk@19",Edward Loper,2001-03-16 22:43:43+00:00,2001-03-16,22,False,False,False,1,nltk.py,1,0,2556,0,2556
nltk,{'develop'},1,40237bb6437869880d19e8c67a3f1411901a39c2,"Added ignore file.


svn/trunk@20",Edward Loper,2001-03-16 22:44:24+00:00,2001-03-16,22,False,False,False,1,.cvsignore,0,0,2,2,0
nltk,{'develop'},1,337aeac06f968dbc83cf6dc98ac61bcd047a4c2b,"Split nltk.py into separate modules in one package.


svn/trunk@21",Edward Loper,2001-03-16 22:46:01+00:00,2001-03-16,22,False,False,False,6,"__init__.py
chktype.py
probability.py
set.py
tagger.py
token.py",6,0,2441,2441,0
nltk,{'develop'},1,7d676c0727fc6e148ac7f209aa2fce3bd051d70f,"A short description of some open issues on representation


svn/trunk@22",Edward Loper,2001-05-11 23:45:02+00:00,2001-05-11,23,False,False,False,0,,0,0,0,0,0
